Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"68,276",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Office of the Provincial Controller,Supplies and equipment,
2014-2015,"68,104",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Taxation Policy,Taxation Policy,Supplies and equipment,
2014-2015,"61,835",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Taxation Policy,Taxation Policy,Transportation and communication,
2014-2015,"60,709",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Supplies and equipment,
2014-2015,"60,527",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Transportation and communication,
2014-2015,"58,782",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy","Pension, Income Security and Research","Pension, Income Security and Research",Transportation and communication,
2014-2015,"53,383",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2014-2015,"50,937",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Securities Reform Division,Securities Reform Division,Supplies and equipment,
2014-2015,"49,301",Ministry of Finance,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"48,457",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"40,250",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy","Pension, Income Security and Research","Pension, Income Security and Research",Supplies and equipment,
2014-2015,"37,183",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Securities Reform Division,Securities Reform Division,Transportation and communication,
2014-2015,"34,341",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Salaries and wages,
2014-2015,"22,208",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Transportation and communication,
2014-2015,"17,081",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Supplies and equipment,
2014-2015,"16,667",Ministry of Finance,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"16,349",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Transportation and communication,
2014-2015,"15,000",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Tax Compliance Partnership Agreements
2014-2015,"10,118",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Transportation and communication,
2014-2015,"9,935",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Supplies and equipment,
2014-2015,"6,431",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Supplies and equipment,
2014-2015,-,Ministry of Finance,Capital Expense,"Economic, Fiscal, and Financial Policy","Economic, Fiscal, and Financial Policy","Economic, Fiscal, and Financial Policy",Other transactions,
2014-2015,-,Ministry of Finance,Capital Expense,Financial Services Industry Regulation,Financial Services Industry Regulation Program,Financial Services Industry Regulation Program,Other transactions,
2014-2015,-,Ministry of Finance,Capital Expense,Investing in Ontario,Investing in Ontario,Investing in Ontario,Transfer payments,"Investing in Ontario Act, 2008"
2014-2015,-,Ministry of Finance,Capital Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax and Benefits,Other transactions,
2014-2015,-,Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Small Business Transition Support
2014-2015,-,Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Transition Fund,Transition Fund,Other transactions,
2014-2015,-,Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Bad Debt Expense,,,
2014-2015,-,Ministry of Finance,Operating Expense,Ministry Administration,Bad Debt Expense,,,
2014-2015,"-214,397",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Salaries and wages,Recoveries
2014-2015,"-630,886",Ministry of Finance,Capital Expense,Financial Services Industry Regulation,Amortization,Statutory Appropriations,Other transactions,Recoveries
2014-2015,"-461,190",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Salaries and wages,Recoveries
2014-2015,"-43,484",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Employee benefits,Recoveries
2014-2015,"-475,101",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Services,Recoveries
2014-2015,"-20,161,633",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Salaries and wages,Recoveries
2014-2015,"-1,613,942",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Employee benefits,Recoveries
2014-2015,"-256,131",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Transportation and communication,Recoveries
2014-2015,"-1,930,526",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Services,Recoveries
2014-2015,"-80,557",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Supplies and equipment,Recoveries
2014-2015,"-61,986,864",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Interest Capitalized in Ministry Appropriations
2014-2015,"-115,083,920",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,"Other interest, exchange, discount and commission"
2014-2015,"-756,837,021",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Interest on Investments
2014-2015,"-5,543,079",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Services,Recoveries
2014-2015,"-1,655,614",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Salaries and wages,Recoveries
2014-2015,"-285,206",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Employee benefits,Recoveries
2014-2015,"-17,081",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Supplies and equipment,Recoveries
2014-2015,"-16,349",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Transportation and communication,Recoveries
2014-2015,"-34,521,827",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Salaries and Wages,Recoveries
2014-2015,"-8,484,289",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Employee benefits,Recoveries
2014-2015,"-558,469",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Transportation and communication,Recoveries
2014-2015,"-41,780,494",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Services,Recoveries
2014-2015,"-397,219",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Supplies and equipment,Recoveries
2014-2015,-,Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Contingency Fund,,,
2014-2015,-,Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Guarantees and Indemnities,,,
2014-2015,-,Ministry of Finance,Capital Expense,Ministry Administration,Ministry Administration,,,
2014-2015,-,Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Motor Vehicle Accident Claims Fund,,,
2014-2015,-,Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy","Payments under the Tax Increment Financing Act, 2006",,,
2014-2015,-,Ministry of Government Services,Capital Expense,Ministry Administration,Amortization,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Government Services,Capital Expense,Enterprise Business Services,Amortization,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Government Services,Capital Expense,ServiceOntario,Amortization,Statutory Appropriations,Other transactions,
