Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"289,244",Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Employee benefits,No Value
2018-19,"290,497",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Commission of Ontario,No Value,Supplies and equipment,No Value
2018-19,"290,625",Seniors Affairs,Operating Expense,Ministry Administration,Ministry Administration,No Value,Services,No Value
2018-19,"290,930","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transfer payments,Food Safety and Traceability Partnerships
2018-19,"291,056",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Ontario Parks Infrastructure,Transfer payments,Investment in Shared Infrastructure
2018-19,"291,763",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"292,032",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Employee benefits,No Value
2018-19,"292,749",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,GO North Investor Program
2018-19,"294,969",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transportation and communication,No Value
2018-19,"296,369","Chief Electoral Officer, Office of the",Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Employee benefits,No Value
2018-19,"297,478","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Ontario Legislative Internship Program,No Value,Transfer payments,Ontario Legislative Internship Program
2018-19,"297,703",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"297,900",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Transfer payments,Innovation Projects
2018-19,"298,262",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"298,812",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"298,974",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,No Value,Supplies and equipment,No Value
2018-19,"299,589","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2018-19,"300,713",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Supplies and equipment,No Value
2018-19,"303,796",Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Transportation and communication,No Value
2018-19,"305,476","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the French Language Services Commissioner,No Value,Employee benefits,No Value
2018-19,"305,534",Government and Consumer Services,Operating Expense,Ontario Shared Services Program,Ontario Shared Services,No Value,Other transactions,Other Transactions
2018-19,"307,581","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"310,282","Auditor General, Office of the",Operating Expense,Office of the Auditor General Program,The Auditor General Act,No Value,Services,No Value
2018-19,"311,721",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"312,438","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Other Assistance Rural
2018-19,"313,325",Government and Consumer Services,Operating Expense,Consumer Services,Consumer Services,No Value,Transportation and communication,No Value
2018-19,"316,041",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Alcohol and Cannabis Policy ,Employee benefits,No Value
2018-19,"316,723",Infrastructure,Operating Expense,Infrastructure Policy and Planning,Infrastructure Policy and Planning,Infrastructure Research and Planning,Services,No Value
2018-19,"318,059",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Services,No Value
2018-19,"319,034","Auditor General, Office of the",Operating Expense,Office of the Auditor General Program,The Auditor General Act,No Value,Salaries and wages,No Value
2018-19,"319,483",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,No Value
2018-19,"321,051",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transportation and communication,No Value
2018-19,"321,973","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Supplies and equipment,No Value
2018-19,"325,766",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Niagara Escarpment Commission,Employee benefits,No Value
2018-19,"327,273","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Employee benefits,No Value
2018-19,"327,664",Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,No Value,Transportation and communication,No Value
2018-19,"328,130","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Main Office,Services,No Value
2018-19,"328,162",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Supplies and equipment,No Value 
2018-19,"329,224",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2018-19,"330,221",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"330,408",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Planning and Finance,Salaries and wages,No Value
2018-19,"330,676","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Transportation and communication,No Value
2018-19,"330,943",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Transportation and communication,No Value
2018-19,"331,194",Community Safety and Correctional Services,Operating Expense,Public Safety Training,Public Safety Training,Business Support,Services,No Value
2018-19,"333,915","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"334,324",Transportation,Operating Expense,Policy and Planning,Policy and Planning,No Value,Transportation and communication,No Value
2018-19,"334,736",Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Salaries and wages,No Value
2018-19,"334,793",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Services,No Value
2018-19,"335,442",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Employee benefits,No Value
2018-19,"335,583",Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,No Value,Transportation and communication,No Value
2018-19,"336,282","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transfer payments,Other Assistance for Public Health
