Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"20,974,621",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Supplies and Equipment,
2015-16,"14,020,090",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Transportation and Communication,
2015-16,"9,829,950",Ministry of Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Correctional Facilities,Correctional Facilities,Services,
2015-16,"409,955",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,Correctional Services Oversight and Investigations,Employee Benefits,
2015-16,"2,466,368",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,Correctional Services Oversight and Investigations,Salaries and Wages,
2015-16,"88,234",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,Correctional Services Oversight and Investigations,Services,
2015-16,"26,258",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,Correctional Services Oversight and Investigations,Supplies and Equipment,
2015-16,"78,785",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,Correctional Services Oversight and Investigations,Transportation and Communication,
2015-16,"747,066",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Employee Benefits,
2015-16,"5,759,785",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Salaries and Wages,
2015-16,"5,794,032",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Services,
2015-16,"268,418",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Supplies and Equipment,
2015-16,"407,488",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transportation and Communication,
2015-16,"1,155,121",Ministry of Community Safety and Correctional Services,Capital Expense,Ministry Administration Program,Facilities Renewal,Facilities Renewal,Services,
2015-16,"99,323,577",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Employee Benefits,
2015-16,"635,117,539",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Salaries and Wages,
2015-16,"71,780,134",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Services,
2015-16,"7,440,662",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Supplies and Equipment,
2015-16,"6,108,517",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Transportation and Communication,
2015-16,"21,289,168",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,Fleet Management,Services,
2015-16,"38,070,043",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,Fleet Management,Supplies and Equipment,
2015-16,"53,764",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,Fleet Management,Transportation and Communication,
2015-16,"70,298,217",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Employee Benefits,
2015-16,"458,038,644",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Salaries and Wages,
2015-16,"93,988,311",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Services,
2015-16,"68,641,268",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Supplies and Equipment,
2015-16,"5,782,574",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Transportation and Communication,
2015-16,"6,217,484",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Employee Benefits,
2015-16,"99,552,507",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Salaries and Wages,
2015-16,"8,736,681",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Services,
2015-16,"3,063,992",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Supplies and Equipment,
2015-16,"4,711,044",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Transportation and Communication,
2015-16,"4,154,278",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Employee Benefits,
2015-16,"31,312,000",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Salaries and Wages,
2015-16,"89,742,839",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Services,
2015-16,"174,598",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Supplies and Equipment,
2015-16,"37,182,979",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Transportation and Communication,
2015-16,"43,629",Ministry of Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"404,059",Ministry of Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee Benefits,
