Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"1,559,852",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Services,No Value
2021-22,"3,742",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Supplies and equipment,No Value
2021-22,"1,968,380",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Transfer payments,Francophone Community Grants
2021-22,"263,980",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Transfer payments,Ontario-Quebec Agreement
2021-22,"500,000",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Transfer payments,Support for Long-Term Francophone Economic Development
2021-22,"2,000,000",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Transfer payments,Francophone Non-Profit COVID-19 Relief
2021-22,"16,667",Francophone Affairs,Operating Expense,Francophone Affairs Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"3,142,291",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"479,720",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"35,538",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"185,724",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"3,050",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"10,427,682",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2021-22,"1,481,192",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2021-22,"55,246",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2021-22,"975,653",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2021-22,"17,657",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2021-22,"27,838",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"6,706,528",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"14,640",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"3,221,496",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"431,147",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"17,869",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"1,984,039",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"5,414",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"2,730,264",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2021-22,"460,615",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"12,217",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"64,217",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,"2,594",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"49,301",Government and Consumer Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"16,667",Government and Consumer Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"8,417,149",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Salaries and wages,No Value
2021-22,"1,414,787",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Employee benefits,No Value
2021-22,"364,959",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Transportation and communication,No Value
2021-22,"14,817,590",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Services,No Value
2021-22,"61,896",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Supplies and equipment,No Value
2021-22,"20,000",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Transfer payments,Archives Support Grants
2021-22,"-9,034,250",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives","Information, Privacy and Archives",No Value,Recoveries,No Value
2021-22,"116,361,345",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Salaries and wages,No Value
2021-22,"18,028,688",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Employee benefits,No Value
2021-22,"26,465,546",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Transportation and communication,No Value
2021-22,"69,597,162",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Services,No Value
2021-22,"39,762,995",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Supplies and equipment,No Value
2021-22,"16,887,395",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Transfer payments,Centralized Supply Chain
2021-22,"29,588,272",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Other transactions,No Value
2021-22,"-70,055,497",Government and Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,No Value,Recoveries,No Value
2021-22,"8,378,122",Government and Consumer Services,Operating Expense,Ontario Shared Services,Statutory Appropriations,No Value,Other transactions,Proceedings Against the Crown Act
2021-22,"65,664,563",Government and Consumer Services,Operating Expense,Ontario Shared Services,OPS Workplace Safety and Insurance Board Centralized Services,No Value,Services,No Value
2021-22,"-65,664,563",Government and Consumer Services,Operating Expense,Ontario Shared Services,OPS Workplace Safety and Insurance Board Centralized Services,No Value,Recoveries,No Value
2021-22,"2,302,344",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Salaries and wages,No Value
2021-22,"386,438",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Employee benefits,No Value
2021-22,"9,471",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Transportation and communication,No Value
2021-22,"6,815,709",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Services,No Value
2021-22,"2,599",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Supplies and equipment,No Value
2021-22,"-9,516,561",Government and Consumer Services,Operating Expense,Ontario Shared Services,Motor Vehicle Accident Claims Fund,No Value,Recoveries,No Value
2021-22,"120,568,632",Government and Consumer Services,Operating Expense,ServiceOntario,ServiceOntario,No Value,Salaries and wages,No Value
